abandono,plan_internacional,plan_correo_de_voz,CP1,CP2
0,0,1,-89.36923800611123,20.99737033701559
0,0,1,13.92525847106271,40.15129173983457
0,0,0,-66.79546469841647,30.95627867307691
0,1,0,-130.6243930996673,91.01034337921318
0,1,0,10.534969865886763,33.18200289508365
0,1,0,-42.184346528373354,-17.808122358537894
0,0,1,-27.586097089118642,-110.57272396101624
0,1,0,14.888458227618608,85.89876254966381
0,0,0,6.528477151636174,-107.10775196083353
0,1,1,-87.64232552128162,54.26479479584069
1,0,0,53.091826228551675,-10.794998132921501
0,0,0,-10.22382252716448,24.73648833333799
0,0,0,49.27637714826154,43.73152280853493
0,0,0,28.32331986165623,-38.64740868108425
0,0,0,68.36801642856665,-74.4060514523572
1,0,0,-141.2411175689343,-132.00680486872048
0,0,1,-0.7049991533428771,-134.02798994577637
0,0,0,-3.3611239163739732,-59.30319365591873
0,0,1,-5.571396906294671,-32.74282166951558
0,0,0,-46.97126988839094,21.469599699256186
0,0,0,27.741551352438254,-21.122484328840887
1,0,0,115.62597817794125,42.589930597830744
0,0,0,-11.237082126420358,87.07881954217024
0,0,0,66.30047407082749,50.353351729449805
0,0,0,100.55629665602457,0.55820160976484
0,0,0,58.31408864148782,-19.813019934302705
0,0,1,-32.39957371270535,-8.246969345163455
0,0,0,50.967093516494494,-22.4931464028807
0,0,0,-3.662047799496422,-58.643299840761
0,0,0,64.35876136970688,-18.59938096982634
0,0,0,87.0929784945717,92.67898784333296
0,0,0,-49.895745696726564,22.51757551006377
0,0,0,-52.99048490632992,186.74058558653235
1,0,0,-72.41037527606353,0.9010158149655136
0,0,1,2.004954435756996,12.32465955612365
0,0,1,-34.741763700739895,-48.00210210998386
0,0,1,37.071425391331765,-12.365659669617791
0,0,0,49.39830837940038,4.753484195616848
0,1,1,-16.723150599808115,-54.21928725302597
0,0,0,46.864416465864565,-57.18631647870975
0,0,0,52.74642203612611,24.511136995731004
1,1,1,13.966471568624891,-50.54209120173263
0,0,0,53.26619442145833,12.174625347035054
0,0,0,94.26466943337074,25.26116357834344
0,0,0,23.122158809267887,23.782129410710795
0,0,1,63.852952225212306,-26.85476302495323
0,0,0,-28.977095729821674,-15.966256426325746
0,0,0,-15.410633279379566,77.33371281164759
1,0,0,28.454863278035898,-56.92506472907139
0,0,1,59.594839446739314,-89.1109916497108
0,0,0,-9.208492034176144,-32.59341709971152
0,0,0,-43.88558777548377,17.290612303655365
0,0,0,-13.29857979109987,57.772975177800774
0,0,0,23.38786814860273,-31.73562214127274
1,0,0,30.639228254153142,-9.291366539004859
0,0,0,3.0066671180207063,6.572834097467509
0,0,0,57.16968567965409,-14.647998020369853
1,0,1,-26.501460133604034,82.88508213366177
0,0,0,40.98144141624179,-76.75862304040504
0,0,0,-50.37014444858799,5.723592716062815
0,0,0,-11.385424379804032,2.1795673300980356
0,0,1,-88.11826492346412,-14.128520006740887
0,0,1,-4.77331076928571,-76.41437142826483
0,0,1,-6.565333254622578,51.39769870433603
0,0,0,49.87828491932607,7.8182984335422825
0,0,1,28.839953351946363,35.29623935494281
0,1,0,-67.2489969477168,-45.2999805788036
0,1,0,61.69898293879866,-42.53902024643508
0,0,0,-26.204117349119674,-45.338567358021606
1,0,0,3.171950686229929,-7.264747373936236
0,0,0,-72.11130470064865,76.54055174826762
0,0,1,-50.28146969195536,39.312191885593094
0,0,0,-70.56115576806322,15.351510018512117
0,0,0,-17.381559345102744,-53.04611392304201
0,0,0,-58.35140995696172,19.314615267413345
0,0,0,26.78826769339059,-27.495169708296388
1,0,0,-128.1799596304376,44.92132160965909
1,0,0,112.15644408616298,92.52939989944642
0,0,0,-35.08229992187257,8.898024881073
0,0,0,4.30123148963162,53.47947906179973
0,0,0,-14.70978903169447,-66.19940747907926
0,1,0,-41.42578744418096,42.201066995550285
0,0,1,11.716294881354559,35.23842643592082
0,0,1,-66.86850755211026,-40.13414719634462
1,0,0,-25.87050023457025,-46.54275730473431
0,0,1,-7.032035246826468,58.027158530966574
1,0,0,19.875290535875024,30.917279773035677
0,0,0,-32.08630246287377,-21.058842068400352
0,0,1,20.24837586012314,63.12254177391307
1,0,0,-54.94815018829079,-37.12347328722745
0,0,0,43.73394582628073,-48.81578326504422
1,0,0,-23.724552037266324,3.032770687445615
0,0,0,49.94561368531901,60.578825756604324
0,0,0,-80.20796270874148,48.46366566498661
0,0,0,6.509869535925058,-38.00448578159533
